trace_pid,$w_{back.}$ with $\beta$,"$w_{back.}, w_{depth}$ with $\beta$","$w_{back.}, w_{depth}, w_{dist.}$ with $\beta$","$w_{back.}, w_{depth}, w_{dist.}, w_{eff.}$ with $\beta$","$w_{back.}, w_{depth}, w_{dist.}, w_{forw.}$ with $\beta$","$w_{back.}, w_{depth}, w_{dist.}, w_{forw.}, w_{eff.}$ with $\beta$","$w_{back.}, w_{depth}, w_{eff.}$ with $\beta$","$w_{back.}, w_{depth}, w_{forw.}$ with $\beta$","$w_{back.}, w_{depth}, w_{forw.}, w_{eff.}$ with $\beta$","$w_{back.}, w_{dist.}$ with $\beta$","$w_{back.}, w_{dist.}, w_{eff.}$ with $\beta$","$w_{back.}, w_{dist.}, w_{forw.}$ with $\beta$","$w_{back.}, w_{dist.}, w_{forw.}, w_{eff.}$ with $\beta$","$w_{back.}, w_{eff.}$ with $\beta$","$w_{back.}, w_{forw.}$ with $\beta$","$w_{back.}, w_{forw.}, w_{eff.}$ with $\beta$",$w_{depth}$ with $\beta$,"$w_{depth}, w_{dist.}$ with $\beta$","$w_{depth}, w_{dist.}, w_{eff.}$ with $\beta$","$w_{depth}, w_{dist.}, w_{forw.}$ with $\beta$","$w_{depth}, w_{dist.}, w_{forw.}, w_{eff.}$ with $\beta$","$w_{depth}, w_{eff.}$ with $\beta$","$w_{depth}, w_{forw.}$ with $\beta$","$w_{depth}, w_{forw.}, w_{eff.}$ with $\beta$",$w_{dist.}$ with $\beta$,"$w_{dist.}, w_{eff.}$ with $\beta$","$w_{dist.}, w_{forw.}$ with $\beta$","$w_{dist.}, w_{forw.}, w_{eff.}$ with $\beta$",$w_{eff.}$ with $\beta$,$w_{forw.}$ with $\beta$,"$w_{forw.}, w_{eff.}$ with $\beta$",Null (Given Costs) with $\beta$
1723,-144.28794424241676,-144.50784674965496,-133.90878065124338,-130.3239439264944,-136.21136574423744,-132.62652901948843,-140.34474060004413,-140.54422353726858,-140.3039395691407,-131.60619555824934,-128.02135883350033,-133.90878065124338,-130.3239439264944,-145.8055889762986,-138.24163844427454,-138.00135447614664,-145.91718812069362,-131.8164854484183,-129.84095752573756,-134.11907054141233,-132.1435426187316,-147.08324441508245,-146.51743888980937,-148.8200239828034,-129.51390035542423,-127.53837243274351,-131.8164854484183,-129.84095752573756,-144.7806593220884,-144.21485379681533,-146.51743888980937,-146.26739596554722
1731,-116.29320369132687,-98.71882010391494,-100.83587335621355,-100.20294966695683,-101.45438601755103,-102.32000291925546,-98.0858964146582,-99.3373327652524,-100.20294966695683,-101.27135268728756,-98.0858964146582,-100.11635204353836,-100.20294966695683,-95.96884316235958,-97.99929879123974,-98.0858964146582,-104.07542194525765,-104.08839437303294,-98.77040844454035,-104.31892556632535,-100.88746169683898,-96.65335519224172,-105.94611996394852,-98.77040844454035,-101.97134112073431,-96.65335519224172,-102.20187231402673,-98.77040844454035,-94.5363019399431,-110.70683256251515,-96.65335519224172,-122.4226660564965
1737,-211.59782425590325,-208.3749828149693,-201.2812332249619,-203.4117288396863,-203.5084068730887,-205.63890248781308,-209.72886763845193,-210.60215646309604,-211.95604128657868,-201.76217022220197,-203.69821285372325,-203.98934387032872,-205.92538650185003,-212.71715478546142,-213.61472913660594,-214.76543092738987,-206.14780916684253,-199.05405957683516,-201.18455519155955,-201.2812332249619,-203.4117288396863,-207.50169399032518,-208.3749828149693,-209.72886763845193,-199.53499657407522,-201.4710392055965,-201.76217022220197,-203.69821285372325,-210.48998113733467,-211.3875554884792,-212.53825727926312,-209.3706506077765
1754,-134.76398081182248,-113.85959945824148,-104.2636213208515,-101.40924039428792,-104.0100443918998,-103.55447011486211,-110.81805388465862,-113.99042336008746,-112.96328360523282,-102.1183916002773,-99.26401067371373,-101.8648146713256,-101.40924039428792,-108.67282416408443,-117.31580462870589,-110.81805388465862,-115.45420083242506,-102.75224026421895,-99.26401067371373,-102.84217642957529,-101.40924039428792,-108.67282416408443,-116.63847053599179,-110.81805388465862,-100.60701054364475,-97.11878095313953,-100.6969467090011,-99.26401067371373,-106.52759444351022,-124.98165117607978,-108.67282416408443,-136.93599971144687
1762,-87.49754683174052,-89.69027739141809,-79.31279035959459,-81.51001493693082,-80.99251208700782,-83.18973666434404,-91.88750193158255,-91.8875019303748,-94.08472650771103,-77.11556578225837,-79.31279035959459,-78.7952875096716,-80.99251208700782,-89.69027735424633,-89.69027735303858,-91.8875019303748,-87.49305293784553,-79.8428852636904,-80.92535942353682,-82.04010984102662,-83.12258400087305,-89.69027735535737,-89.69027751518175,-91.88750193120808,-77.64566068635419,-78.7281348462006,-79.8428852636904,-80.92535942353682,-87.49305277802115,-87.4957765997422,-89.69027735387186,-85.30395305373791
2210,-296.3578171338666,-276.97238093795585,-278.1607260764773,-278.6308677899312,-279.077277301254,-279.9796030629859,-277.78165106140307,-277.46503646438936,-277.80896656470924,-291.6409148502023,-293.77272767950285,-282.78091637114824,-284.14970948799424,-298.2015666842384,-296.7208452194618,-298.63143207591395,-274.54636580599606,-275.7347109445175,-276.2048526579714,-276.6512621692942,-277.55358793102613,-275.3556359294432,-275.0390213324295,-275.38295143274945,-289.2148997182425,-291.346712547543,-280.3549012391884,-281.72369435603446,-295.7755515522786,-294.294830087502,-296.2054169439541,-293.93180200190676
2211,-130.78375004131152,-118.71775265591685,-120.91497723325307,-123.1122018105893,-123.1122018105893,-125.30942638792551,-120.91497723325307,-120.91497723325307,-123.1122018105893,-119.1236483919562,-121.32087296929241,-121.32087296929241,-123.51809754662864,-121.29733104576458,-120.61429663669713,-121.70964203816823,-121.70939160021176,-120.10826126442574,-122.30548584176195,-122.30548584176195,-124.50271041909818,-123.29362386264702,-123.90661617754797,-124.12675142278817,-117.91103668708952,-120.10826126442574,-120.10826126442574,-122.30548584176195,-121.09639928531081,-130.884601822736,-121.92952684545196,-134.64420845132076
2212,-129.93320518113927,-109.45973605911809,-104.7397540601579,-107.02192815589183,-106.24581178373028,-108.52798587946418,-108.15918640951011,-108.15950420729983,-110.44136050524403,-102.45757996442399,-104.7397540601579,-103.96363768799635,-106.24581178373028,-105.87701231377619,-105.92300111137106,-108.15918640951011,-107.19156661625823,-105.61800410858379,-106.96417190868355,-107.90017820431771,-109.24634600441748,-105.87701231377619,-105.92411365131225,-108.15918640951011,-103.33583001284987,-104.68199781294963,-105.61800410858379,-106.96417190868355,-103.59483821804227,-121.0903710588994,-105.87701231377619,-135.77029981989176
2213,-182.85372545617574,-173.03901765054425,-149.49679249335625,-147.61365009966445,-151.82377266843503,-147.51170640539056,-169.1209528537543,-169.40246241340458,-168.54930701790192,-147.1698123182775,-145.28666992458568,-149.49679249335625,-145.18472623031178,-180.46004122374046,-167.07548223832583,-166.22232684282315,-172.13074545729532,-147.1698123182775,-145.28666992458568,-149.49679249335625,-145.33539760022464,-173.61774281826607,-173.99109874132054,-175.9447229933448,-144.84283214319873,-142.95968974950694,-147.1698123182775,-143.00841742514586,-178.1330610486617,-171.66411856624177,-173.99109874132054,-183.31405106088593
2215,-129.0274072570189,-121.73187437485228,-120.09413832751932,-122.35503261604384,-122.35503261604384,-123.90928357067989,-123.29702034808531,-123.07371513776039,-125.33460942628491,-117.8332440389948,-120.09413832751932,-120.09413832751932,-121.64838928215536,-121.8619607906612,-120.81282084923588,-123.07371513776039,-129.13345594759753,-121.2788212734325,-123.53971556195702,-123.53971556195702,-125.80060985048154,-127.49139054585036,-131.39435023612202,-129.75228483437488,-119.01792698490797,-121.2788212734325,-121.2788212734325,-123.53971556195702,-125.23049625732584,-134.5143491299142,-127.49139054585036,-137.2999856501191
2216,-278.90146033349845,-274.27144105344775,-263.2914814772289,-264.48470812859233,-265.19028969554824,-266.5251360207121,-275.6184172037114,-275.5086244743828,-277.5295787753063,-261.1284893725376,-262.49471111366796,-262.86004720070594,-264.13139014932113,-280.63192433476735,-280.3586551500352,-281.45222426357657,-271.8776951820567,-260.89773560583785,-262.0909622572013,-262.7965438241572,-264.13139014932113,-273.2246713323204,-273.11487860299184,-275.13583290391523,-258.7347435011466,-260.10096524227697,-260.4663013293149,-261.7376442779301,-278.2381784633763,-277.97793939898213,-279.0584783921856,-276.50771446210746
2217,-106.11198439090545,-88.6784129201352,-90.8159897294845,-91.82838394250892,-91.39552024340894,-93.5608869135521,-89.74554788337936,-89.74563867842954,-91.91091455352253,-88.65062305934134,-89.66301727236575,-89.23015357326577,-91.39552024340894,-87.5801812132362,-87.59318651258744,-89.74554788337936,-86.51752827409108,-88.68289494423425,-89.74554788337936,-89.7590240022692,-91.91091455352253,-87.5801812132362,-87.59365733212604,-89.74554788337936,-89.10203052912046,-87.5801812132362,-90.09504680120193,-89.74554788337936,-85.41481454309303,-91.11357745462324,-87.5801812132362,-103.95029417751228
2218,-266.2173514368761,-268.5669496188317,-267.976809382021,-269.76804235391114,-270.3360588176686,-272.1272917895587,-270.126451655847,-270.92619905447924,-272.48570109149455,-265.61755994637343,-267.40879291826354,-267.976809382021,-269.76804235391114,-267.76720222019947,-268.5766008725236,-270.126451655847,-266.20770018318416,-265.61755994637343,-267.40879291826354,-267.976809382021,-269.76804235391114,-267.76720222019947,-268.5669496188317,-270.126451655847,-263.2583105107259,-265.049543482616,-265.61755994637343,-267.40879291826354,-265.4079527845519,-266.2173514368761,-267.76720222019947,-263.85810200122853
2219,-125.14977838686397,-119.27300470256114,-102.75145070863844,-102.95447383965225,-102.68862540639157,-103.86251393926625,-115.49131643198962,-113.18616374577198,-115.04847441079713,-105.6145826454402,-106.13381743627636,-100.60143177144376,-102.44807387901704,-118.0291160102251,-111.09897011082415,-113.18616374577198,-118.38216351420454,-100.66425707369062,-100.86728020470444,-100.60143177144376,-101.77532030431843,-114.52073491916042,-114.10305890557098,-116.1902525405188,-104.87059633218172,-104.04662380132854,-98.51423813649593,-100.60143177144376,-124.15075731879823,-116.77437198173355,-116.86160375639305,-132.64068313663944
2220,-410.082884086155,-412.77513161754956,-404.93550198478846,-407.30361295187265,-357.44307435242973,-355.56099488066906,-415.20692048463064,-366.8272117641154,-366.62890984154996,-402.24325445339394,-404.6113654204781,-354.75082682103516,-352.86874734927454,-412.51467295323613,-364.1349642327209,-363.9366623101554,-410.082884086155,-402.24325445339394,-404.6113654204781,-354.75082682103516,-352.86874734927454,-412.51467295323613,-364.1349642327209,-363.9366623101554,-399.5510069219994,-401.91911788908357,-352.05857928964065,-350.17649981787997,-409.82242542184156,-361.44271670132633,-361.24441477876087,-407.3906365547605
2221,-356.99026224626147,-353.4928711214252,-345.67320409227176,-348.10392482196903,-310.6329020201297,-310.08860341576326,-355.977641004157,-318.0798648651446,-317.8216680640812,-347.7268167453316,-350.21346770826426,-308.904843871319,-309.0683840269324,-359.52302014100354,-335.71711589329783,-338.2644766606429,-350.93989838447493,-343.12023135532144,-345.55095208501876,-308.0799292831794,-307.53563067881294,-353.4246682672067,-315.5268921281943,-315.26869532713096,-345.1738440083813,-347.66049497131394,-306.35187113436865,-306.5154112899821,-356.9700474040533,-333.16414315634756,-335.7115039236926,-354.43728950931114
2223,-202.46489369749912,-195.70151965647705,-184.32502595151234,-186.1267734354186,-186.58592024003687,-188.38766772394314,-197.02947690517098,-197.96241394500157,-199.03653681912584,-182.06413166298782,-183.8658791468941,-184.32502595151234,-186.1267734354186,-195.8258631790626,-198.03359890968258,-196.81907217031176,-197.91049624594598,-182.21051902360628,-184.100120306401,-184.4714133121308,-186.36101459492554,-195.3605552132934,-200.05709793800335,-197.5786678373342,-179.94962473508178,-181.83922601787648,-182.21051902360628,-184.100120306401,-193.91635018565265,-200.38213135151082,-195.50712597900076,-200.97311520588184
2224,-98.29502581066319,-75.90003673615966,-78.00979058874772,-76.53647417054668,-76.53679196077931,-78.64622802313474,-74.42672031795863,-74.42703810819125,-76.53647417054668,-87.02434652978575,-74.42672031795863,-74.4730556641866,-76.53647417054668,-72.31696646537057,-72.36330181159855,-74.42672031795863,-73.80428753639595,-75.91404138898399,-74.42672031795864,-74.47382052631167,-76.5364741705467,-72.31696646537058,-72.36406667372361,-74.42672031795864,-87.99314943979174,-72.31696646537058,-88.63429851439837,-74.42672031795864,-70.20721261278254,-87.70309199471518,-72.31696646537058,-104.6047227196309
2226,-143.775884941269,-138.9913915852773,-141.29397667827135,-140.5382934927789,-138.42011729994692,-138.13253490616088,-138.23570839978484,-136.11753220695286,-135.82994981316682,-145.44477788615072,-144.12275961027194,-136.11753220695286,-135.82994981316682,-141.8201745172779,-133.81494711395882,-133.52736472017278,-143.3657296276892,-145.66831472068324,-146.80268306215393,-147.97089981367728,-148.84927287992392,-144.5000979691599,-145.66831472068324,-146.54668778692985,-144.62439644884353,-144.5000979691599,-146.92698154183756,-146.54668778692985,-142.19751287616586,-145.42282983163278,-144.24410269393582,-148.7538684573306
2227,-253.70874727824,-251.6074089393567,-209.2371090312118,-210.06535026165704,-176.74910518457622,-177.1457188962405,-253.34545762245145,-211.79488273058067,-213.84330772640527,-208.52075577881894,-209.89565891489565,-174.41269076734528,-174.80930447900957,-255.21897906444374,-230.56185402725242,-226.85563225500877,-249.27099452212576,-206.90069461398082,-207.7289358444261,-174.41269076734528,-174.80930447900957,-251.00904320522048,-209.4584683133497,-211.50689330917433,-206.184341361588,-207.55924449766468,-172.0762763501143,-172.47289006177863,-252.8825646472128,-228.22543961002148,-224.5192178377778,-251.37233286100903
2228,-112.17427251060874,-95.2023974876347,-97.42372311587985,-99.645048744125,-99.645048744125,-101.86637437237017,-97.42372311587985,-97.42372311587985,-99.645048744125,-96.42255118472858,-98.64387681297373,-98.64387681297373,-100.86520244121888,-99.39819384191233,-98.03199005960212,-100.25327028896193,-92.99003578816098,-95.21136141640613,-97.43268704465129,-97.43268704465129,-99.65401267289644,-95.21136141640613,-95.21136141640613,-97.43268704465129,-97.41248187359676,-99.21704846771803,-99.63380750184191,-100.25344946678119,-97.17686882450084,-102.1862052351526,-98.03212383853604,-109.956487534847
2229,-128.7220662647124,-112.6615940000624,-114.87101430396069,-114.31772354475753,-116.09330340241155,-116.52714384865583,-112.10830324085923,-113.88388309851325,-114.31772354475753,-121.12996528094871,-112.10830324085923,-116.03853958831665,-114.31772354475753,-109.89888293696093,-113.82911928441835,-112.10830324085923,-114.01594300638924,-116.22536331028753,-112.10830324085923,-118.04017659466868,-114.31772354475753,-109.89888293696093,-115.83075629077038,-112.10830324085923,-119.49373957816675,-109.89888293696093,-120.39631859218153,-112.10830324085923,-107.68946263306263,-121.38735886023427,-109.89888293696093,-130.9836123921829
2230,-123.85441247084782,-115.03317713921423,-117.26035078734098,-119.48752443546773,-114.84499881061929,-117.07217245874604,-117.26035078734098,-112.61782516249254,-114.84499881061929,-118.71559684536595,-118.96308329006673,-112.61782516249254,-114.84499881061929,-116.73590964193998,-110.39065151436579,-112.61782516249254,-115.44621123541766,-117.67338488354443,-119.76907025018258,-119.90055853167118,-119.06166075781788,-117.54189660205583,-117.67338488354443,-116.83448710969112,-116.48842319723919,-117.54189660205583,-118.70126429136995,-116.83448710969112,-115.31472295392906,-117.24250600128124,-114.60731346156437,-124.94656825975284
2231,-298.9060904397823,-299.6319182458326,-282.91663214993173,-284.0276112142524,-262.7461462515483,-263.794153283877,-301.8106799667461,-278.9047419272441,-281.13984587021395,-280.4828649247039,-281.5938439890246,-260.3123790263205,-261.36038605864917,-300.7966986269478,-279.4203633161382,-280.7024628097607,-297.1990771848043,-280.4828649247039,-281.5938439890246,-260.3123790263205,-261.36038605864917,-299.37691274151825,-276.4709747020163,-278.7060786449862,-278.04909769947614,-279.1600767637968,-257.8786118010927,-258.9266188334214,-298.36293140172,-276.98659609091044,-278.26869558453285,-296.4723232145545
2232,-96.17495933979653,-70.9051898273926,-56.29041644539333,-58.1348561724503,-58.13452821784048,-59.97893216186314,-62.930651970007,-59.22410303609484,-61.06846394344299,-66.00311607484545,-64.31759037835029,-66.05355660197091,-60.35648687041726,-82.91058410550909,-84.60293672561274,-62.930643854150375,-69.1723434073807,-54.5112575462739,-56.355697273330875,-56.355697273330875,-58.13572416920511,-61.086533570238245,-57.678053032010155,-59.22451465900244,-70.19850303594919,-62.47341631006463,-64.52994426107911,-58.51223843553287,-86.8458888455258,-92.19723721310592,-61.08949151536016,-100.62110953869505
2233,-196.55371771810383,-193.8620324926214,-170.52951854860748,-172.28193383727168,-169.58151297737214,-171.40408783858143,-194.86798847719032,-186.61044524128155,-186.1744773862468,-168.33850523127055,-170.09092051993474,-167.3904996600352,-169.2130745212445,-197.6112045362093,-190.08351587202313,-184.4273774538681,-192.5213405326631,-168.33850523127055,-170.09092051993474,-167.3904996600352,-169.2130745212445,-192.67697515985338,-185.77986561612425,-183.98346406890985,-166.1474919139336,-167.8999072025978,-165.19948634269826,-167.02206120390755,-196.1640667781913,-188.02904010920608,-182.23636413653117,-195.13053009396842
2234,-77.73592361924331,-79.85554101577515,-71.20682367774826,-73.05930580359392,-72.3245442421587,-74.44879186318337,-81.97978862629307,-81.97978862495687,-84.10403624598155,-69.08257605672358,-70.93505818256924,-70.20029662113402,-72.3245442421587,-79.85554100526839,-79.85554100393219,-81.97978862495687,-77.7312935184223,-71.79416449862276,-71.75352768088668,-73.16601968384408,-73.87777530191136,-79.85554100649053,-79.85554113944698,-81.97978862579016,-69.66991687759808,-69.629280059862,-71.0417720628194,-71.75352768088668,-77.73129338546585,-77.73401719320631,-79.85554100476548,-75.61566982598782
2235,-148.7438847994868,-150.9768388588141,-135.92669146027387,-136.0930494945897,-138.15964551960116,-138.326003553917,-148.18445625346303,-149.56645567391323,-150.4174103127903,-133.69373740094656,-133.86009543526242,-135.92669146027387,-136.0930494945897,-145.95150219413574,-147.33350161458594,-148.18445625346303,-153.18210682761458,-133.69373740094656,-135.06627210987673,-135.92669146027387,-137.29922616920402,-146.4447462175741,-154.56808490122094,-148.6777002769014,-131.46078334161928,-132.83331805054942,-133.69373740094656,-135.06627210987673,-144.21179215824682,-152.33513084189366,-146.4447462175741,-150.94915276828726
2236,-355.56674162444824,-353.6362261940925,-345.4205544885868,-347.8595392338001,-300.8667422981434,-300.69029268477505,-356.12936127070424,-315.4131680673351,-315.3795890596951,-345.9020745925851,-348.3957975035038,-298.3168090842313,-298.59000358882156,-358.10695247252113,-326.91788509050616,-329.46781830441824,-351.0862929801804,-342.8706212746747,-345.309606019888,-298.3168090842313,-298.1403594708629,-353.57942805679215,-312.863234853423,-312.829655845783,-343.352141378673,-345.8458642895917,-295.7668758703192,-296.0400703749095,-355.55701925860905,-324.3679518765941,-326.91788509050616,-353.0168084105361
2237,-282.4444223734699,-281.04901623367545,-261.1182161193107,-262.03647678031257,-263.4658082562194,-264.2568518890277,-282.9920292430302,-274.5085059759277,-276.33305811825437,-258.65822565639667,-259.57648631739846,-261.0058177933053,-261.79686142611365,-284.5861931664396,-272.0485155130136,-273.8730676553403,-282.39093977499016,-259.07477123734753,-260.15271697321674,-261.5347617002616,-262.5513396013087,-284.75775693872407,-278.5690303380543,-281.00927523261214,-256.6147807744335,-257.6927265103027,-259.07477123734753,-260.09134913839466,-283.17786230871116,-276.1090398751402,-278.5492847696981,-281.41243187595467
2238,-55.210795443452646,-4.4935984103309865,-5.991464547107982,-7.489330683884977,-7.489330683884977,-8.987196820661973,-5.991464547107982,-5.991464547107982,-7.489330683884977,-4.4935984103309865,-5.991464547107982,-5.991464547107982,-7.489330683884977,-55.046581920304135,-55.27672580130949,-5.991464794446415,-2.995732273553991,-4.4935984103309865,-5.991464547107982,-5.991464547107982,-7.489330683884977,-4.4935984103309865,-4.4935984103309865,-5.991464547107982,-2.995732273553991,-4.4935984103309865,-4.4935984103309865,-5.991464547107982,-54.37523516465019,-54.62949522105497,-4.49359865766942,-54.54505072432363
2239,-132.1862082515353,-134.4578556426703,-136.72950303380532,-136.8593887872359,-136.7729344944495,-139.04458188558448,-134.5877413961009,-134.5012871033145,-136.7729344944495,-134.4578556426703,-134.5877413961009,-134.5012871033145,-136.7729344944495,-132.31609400496592,-132.22963971217948,-134.5012871033145,-144.25376743486365,-146.52541482599864,-140.65254336560477,-148.79706221713366,-142.92419075673976,-138.38089597446975,-146.52541482599864,-140.65254336560477,-144.25376743486365,-138.38089597446975,-146.52541482599864,-140.65254336560477,-136.10924858333476,-144.25376743486365,-138.38089597446975,-141.98212004372863
2240,-133.68872945527153,-106.48015957386205,-104.49622322164386,-103.78853408694667,-102.49374258094534,-104.64577512754744,-101.63650154034458,-100.34171003434327,-102.49374258094534,-110.65008700361514,-102.7291178239175,-100.34171003434327,-102.49374258094534,-100.57708527731542,-98.18967748774118,-100.34171003434327,-109.71307219308983,-103.72823047107745,-103.19522089025818,-105.88026301767954,-102.49374258094534,-101.0431883436561,-107.26258384159034,-100.34171003434327,-110.54987083323205,-101.0431883436561,-104.34210214434566,-100.34171003434327,-98.89115579705401,-105.65155521308577,-98.18967748774118,-137.63465687270389
2241,-392.13423294960427,-384.0907090828526,-386.1183641744942,-388.57549828055727,-370.87853820275956,-368.38414254527515,-386.59279744182686,-368.2792896871266,-365.78489402964226,-392.6597822987037,-395.16698876832703,-388.342428341956,-390.84180152164527,-394.6927345419612,-387.4465709833266,-389.9983344420052,-381.4914605672197,-383.5191156588613,-385.9762497649243,-368.2792896871266,-365.78489402964226,-383.99354892619397,-365.6800411714937,-363.1856455140093,-390.0605337830708,-392.56774025269414,-385.7431798263231,-388.2425530060123,-392.0934860263283,-384.8473224676937,-387.3990859263723,-389.5349844339713
2242,-343.3554140473952,-345.8930009550121,-322.53773597425004,-323.24439694224924,-317.7685160758606,-318.2425494342671,-348.41099989134875,-326.87221679057194,-328.96621124084425,-320.0001490666331,-320.7068100346323,-315.2309291682437,-315.7049625266502,-345.87341298373184,-324.334629882955,-326.42862433322733,-343.95684010968296,-320.0001490666331,-320.7068100346323,-315.2309291682437,-315.7049625266502,-346.4801560559838,-324.5406905904853,-326.7052982037122,-317.4625621590162,-318.1692231270154,-312.69334226062676,-313.1673756190333,-343.9425691483669,-322.0031036828684,-324.16771129609526,-341.41925320206605
2243,-188.67445384263908,-187.12923816990332,-186.57321590573096,-182.46250820295066,-185.98096596732447,-183.9667916980224,-183.7607547261184,-183.63072578442825,-182.70647956555325,-184.22297572283475,-180.11226802005444,-183.63072578442825,-181.6165515151262,-191.02469402553527,-181.28048560153204,-180.35623938265704,-187.0927273265948,-184.22297572283475,-181.06197219183593,-186.57321590573096,-183.41221237473215,-187.1590264764303,-187.6011352809414,-189.50926665932653,-181.87273553993856,-178.71173200893972,-184.22297572283475,-181.06197219183593,-189.65955202838552,-185.25089509804522,-187.6011352809414,-188.71320670400078
2244,-130.81794457405135,-119.14887091526819,-93.53314350267487,-95.75446913092003,-93.89388774726467,-94.08807546932931,-121.37019654351334,-115.96844453561977,-116.51786991507154,-91.31181787442972,-93.53314350267487,-91.67256211901952,-91.86674984108416,-122.03296880606446,-113.74711890737461,-114.29654428682639,-118.3696290851818,-91.31181787442972,-93.53314350267487,-91.67256211901952,-93.42574132642181,-120.59095471342695,-119.48562203596259,-118.54744320704702,-89.09049224618457,-91.31181787442972,-89.45123649077436,-91.20441569817666,-119.8116431778193,-117.26429640771744,-116.32611757880187,-130.99936979551518
2245,-196.314571221223,-188.6635960393252,-183.78338892808824,-185.73435045231025,-185.27557343319404,-187.50852749252135,-190.3126185884768,-189.19654202641246,-190.41912893978125,-181.55043486876096,-183.50139639298297,-183.04261937386676,-185.27557343319404,-189.5899309615276,-187.77860916943567,-188.18617488045396,-192.7570655471857,-182.38102792866692,-184.13030384319327,-184.4359177493195,-186.36325790252056,-189.40543547460496,-193.9204767930686,-190.20542561146365,-180.14807386933964,-181.897349783866,-182.2029636899922,-184.13030384319327,-188.08480886914094,-191.997717300954,-187.97247155213637,-195.72762047623473
2247,-209.10886093409766,-205.86866634390364,-195.3023229664676,-197.5044427956197,-196.7042262674805,-198.68174241207595,-204.98263115286412,-201.038365865827,-202.1738402464431,-193.0468932132092,-195.24901304236127,-194.44879651422207,-196.42631265881752,-203.00954547217563,-198.78293611256856,-199.91841049318467,-210.1695407861122,-195.2120708483243,-197.1008406802518,-197.41541316571977,-199.35627043351022,-204.9774652719322,-209.77256650835668,-205.56338834570954,-192.95664109506586,-194.84541092699337,-195.15998341246134,-197.1008406802518,-202.72203551867378,-207.51713675509825,-203.30795859245112,-210.22285868713254
