,browser,platform,language,cond,counterbalance,codeversion,beginhit,beginexp,endhit,bonus,status,mode,pid,run,DEPTH,COST,MIN_TIME,inspectCost,startTime,bonusRate,variance,branching,first_trial,colors,color_names,final_bonus,displayed_bonus,CODE,time_diff
85,chrome,windows,UNKNOWN,3,0,irlexp7_3,2020-10-23,2020-10-23,,0.0,2,debug,1657,QuestPilot2,0,1,7,1,2020-10-23,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",,,porcupine,
129,firefox,windows,UNKNOWN,0,0,irlexp7_3,2020-11-03,2020-11-03,2020-11-03,0.0,3,debug,1169,QuestPilot3,0,1,7,1,2020-11-02,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.79,3.79,hedgehog,41.1
130,chrome,windows,UNKNOWN,0,0,irlexp7_3,2020-11-03,2020-11-03,2020-11-03,0.0,3,debug,1170,QuestPilot3,0,1,7,1,2020-11-02,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.86,3.86,hedgehog,51.3
131,chrome,windows,UNKNOWN,0,0,irlexp7_3,2020-11-03,2020-11-03,2020-11-03,0.0,3,debug,1171,QuestPilot3,0,1,7,1,2020-11-02,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.81,3.81,hedgehog,39.88333333333333
132,firefox,windows,UNKNOWN,0,0,irlexp7_3,2020-11-02,2020-11-02,2020-11-02,0.0,3,debug,1172,QuestPilot3,0,1,7,1,2020-11-02,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.83,3.83,hedgehog,27.516666666666666
133,firefox,macos,UNKNOWN,0,0,irlexp7_3,2020-11-02,2020-11-02,2020-11-02,0.0,3,debug,1173,QuestPilot3,0,1,7,1,2020-11-02,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.55,3.55,hedgehog,13.15
134,chrome,windows,UNKNOWN,1,0,irlexp7_3,2020-11-03,2020-11-03,2020-11-03,0.0,3,debug,1174,QuestPilot3,0,1,7,1,2020-11-02,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",0.5,1.5,bighorn,26.483333333333334
136,chrome,macos,UNKNOWN,1,0,irlexp7_3,2020-11-02,2020-11-02,2020-11-03,0.0,3,debug,1176,QuestPilot3,0,1,7,1,2020-11-02,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",1.56,2.56,bighorn,52.6
137,chrome,windows,UNKNOWN,1,0,irlexp7_3,2020-11-02,2020-11-02,2020-11-02,0.0,3,debug,1177,QuestPilot3,0,1,7,1,2020-11-02,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",0.9,1.9,bighorn,31.65
138,chrome,windows,UNKNOWN,1,0,irlexp7_3,2020-11-02,2020-11-02,2020-11-02,0.0,3,debug,1178,QuestPilot3,0,1,7,1,2020-11-03,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",3.17,4.17,bighorn,6.133333333333334
139,chrome,windows,UNKNOWN,2,0,irlexp7_3,2020-11-03,2020-11-03,2020-11-03,0.0,3,debug,1179,QuestPilot3,0,1,7,1,2020-11-03,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",1.95,2.95,chinchilla,15.05
140,chrome,windows,UNKNOWN,2,0,irlexp7_3,2020-11-03,2020-11-03,2020-11-03,0.0,3,debug,1180,QuestPilot3,0,1,7,1,2020-11-02,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",1.73,2.73,chinchilla,24.9
141,firefox,windows,UNKNOWN,2,0,irlexp7_3,2020-11-03,2020-11-03,2020-11-03,0.0,3,debug,1181,QuestPilot3,0,1,7,1,2020-11-02,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",3.07,4.07,chinchilla,31.45
142,chrome,macos,UNKNOWN,2,0,irlexp7_3,2020-11-03,2020-11-03,2020-11-03,0.0,3,debug,1182,QuestPilot3,0,1,7,1,2020-11-02,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",3.13,4.13,chinchilla,46.733333333333334
143,chrome,windows,UNKNOWN,2,0,irlexp7_3,2020-11-02,2020-11-03,2020-11-03,0.0,3,debug,1183,QuestPilot3,0,1,7,1,2020-11-02,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",1.29,2.29,chinchilla,11.116666666666667
144,chrome,windows,UNKNOWN,3,0,irlexp7_3,2020-11-03,2020-11-03,2020-11-03,0.0,3,debug,1184,QuestPilot3,0,1,7,1,2020-11-03,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.97,3.97,porcupine,38.8
145,chrome,windows,UNKNOWN,3,0,irlexp7_3,2020-11-03,2020-11-03,2020-11-03,0.0,3,debug,1185,QuestPilot3,0,1,7,1,2020-11-02,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.55,3.55,porcupine,48.06666666666667
148,chrome,windows,UNKNOWN,3,0,irlexp7_3,2020-11-02,2020-11-02,2020-11-02,0.0,3,debug,1188,QuestPilot3,0,1,7,1,2020-11-02,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.94,3.94,porcupine,58.4
149,chrome,windows,UNKNOWN,3,0,irlexp7_3,2020-11-02,2020-11-02,2020-11-02,0.0,3,debug,1189,QuestPilot3,0,1,7,1,2020-11-02,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.98,3.98,porcupine,41.416666666666664
150,chrome,windows,UNKNOWN,4,0,irlexp7_3,2020-11-03,2020-11-03,2020-11-03,0.0,3,debug,1190,QuestPilot3,0,1,7,1,2020-11-02,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.92,3.92,guanaco,55.666666666666664
151,chrome,windows,UNKNOWN,4,0,irlexp7_3,2020-11-03,2020-11-03,2020-11-03,0.0,3,debug,1191,QuestPilot3,0,1,7,1,2020-11-02,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",0.8400000000000001,1.84,guanaco,42.53333333333333
152,chrome,macos,UNKNOWN,4,0,irlexp7_3,2020-11-02,2020-11-02,2020-11-02,0.0,3,debug,1192,QuestPilot3,0,1,7,1,2020-11-02,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",3.05,4.05,guanaco,30.533333333333335
153,chrome,macos,UNKNOWN,4,0,irlexp7_3,2020-11-02,2020-11-02,2020-11-02,0.0,3,debug,1193,QuestPilot3,0,1,7,1,2020-11-02,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.76,3.76,guanaco,51.25
154,safari,macos,UNKNOWN,4,0,irlexp7_3,2020-11-02,2020-11-02,2020-11-02,0.0,3,debug,1194,QuestPilot3,0,1,7,1,2020-11-02,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.88,3.88,guanaco,39.21666666666667
155,chrome,windows,UNKNOWN,5,0,irlexp7_3,2020-11-03,2020-11-03,2020-11-03,0.0,3,debug,1195,QuestPilot3,0,1,7,1,2020-11-03,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.86,3.86,walrus,47.766666666666666
156,chrome,macos,UNKNOWN,5,0,irlexp7_3,2020-11-03,2020-11-03,2020-11-03,0.0,3,debug,1196,QuestPilot3,0,1,7,1,2020-11-02,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.82,3.82,walrus,37.0
157,chrome,windows,UNKNOWN,5,0,irlexp7_3,2020-11-02,2020-11-02,2020-11-03,0.0,3,debug,1197,QuestPilot3,0,1,7,1,2020-11-02,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",3.08,4.08,walrus,49.05
158,chrome,windows,UNKNOWN,5,0,irlexp7_3,2020-11-02,2020-11-02,2020-11-02,0.0,3,debug,1198,QuestPilot3,0,1,7,1,2020-11-02,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.84,3.84,walrus,54.55
159,chrome,windows,UNKNOWN,5,0,irlexp7_3,2020-11-02,2020-11-02,2020-11-02,0.0,3,debug,1199,QuestPilot3,0,1,7,1,2020-11-02,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",3.11,4.11,walrus,2.566666666666667
161,chrome,windows,UNKNOWN,6,0,irlexp7_3,2020-11-03,2020-11-03,2020-11-03,0.0,3,debug,1201,QuestPilot3,0,1,7,1,2020-11-02,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.68,3.68,dromedary,14.833333333333334
162,chrome,macos,UNKNOWN,6,0,irlexp7_3,2020-11-03,2020-11-03,2020-11-03,0.0,3,debug,1202,QuestPilot3,0,1,7,1,2020-11-02,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.86,3.86,dromedary,48.61666666666667
163,chrome,windows,UNKNOWN,6,0,irlexp7_3,2020-11-03,2020-11-03,2020-11-03,0.0,3,debug,1203,QuestPilot3,0,1,7,1,2020-11-02,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",3.05,4.05,dromedary,28.433333333333334
164,chrome,windows,UNKNOWN,6,0,irlexp7_3,2020-11-03,2020-11-03,2020-11-03,0.0,3,debug,1204,QuestPilot3,0,1,7,1,2020-11-02,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.87,3.87,dromedary,48.45
165,chrome,windows,UNKNOWN,6,0,irlexp7_3,2020-11-02,2020-11-02,2020-11-02,0.0,3,debug,1205,QuestPilot3,0,1,7,1,2020-11-02,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.45,3.45,dromedary,25.95
167,safari,macos,UNKNOWN,7,0,irlexp7_3,2020-11-03,2020-11-03,2020-11-03,0.0,3,debug,1207,QuestPilot3,0,1,7,1,2020-11-02,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",3.09,4.09,aoudad,55.083333333333336
168,chrome,windows,UNKNOWN,7,0,irlexp7_3,2020-11-03,2020-11-03,2020-11-03,0.0,3,debug,1208,QuestPilot3,0,1,7,1,2020-11-02,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.85,3.85,aoudad,41.9
169,chrome,windows,UNKNOWN,7,0,irlexp7_3,2020-11-02,2020-11-02,2020-11-03,0.0,3,debug,1209,QuestPilot3,0,1,7,1,2020-11-02,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.92,3.92,aoudad,33.93333333333333
170,firefox,windows,UNKNOWN,7,0,irlexp7_3,2020-11-02,2020-11-02,2020-11-02,0.0,3,debug,1210,QuestPilot3,0,1,7,1,2020-11-02,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.95,3.95,aoudad,33.333333333333336
171,chrome,windows,UNKNOWN,7,0,irlexp7_3,2020-11-02,2020-11-02,2020-11-03,0.0,3,debug,1211,QuestPilot3,0,1,7,1,2020-11-02,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.18,3.18,aoudad,54.733333333333334
172,chrome,windows,UNKNOWN,8,0,irlexp7_3,2020-11-03,2020-11-03,2020-11-03,0.0,3,debug,1212,QuestPilot3,0,1,7,1,2020-11-03,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",3.14,4.14,weasel,30.35
173,firefox,windows,UNKNOWN,8,0,irlexp7_3,2020-11-03,2020-11-03,2020-11-03,0.0,3,debug,1213,QuestPilot3,0,1,7,1,2020-11-02,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",,,weasel,30.4
174,chrome,macos,UNKNOWN,8,0,irlexp7_3,2020-11-03,2020-11-03,2020-11-03,0.0,3,debug,1214,QuestPilot3,0,1,7,1,2020-11-02,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",3.23,4.23,weasel,40.18333333333333
175,chrome,windows,UNKNOWN,8,0,irlexp7_3,2020-11-03,2020-11-03,2020-11-03,0.0,3,debug,1215,QuestPilot3,0,1,7,1,2020-11-02,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",3.3,4.3,weasel,33.45
176,chrome,windows,UNKNOWN,8,0,irlexp7_3,2020-11-02,2020-11-02,2020-11-02,0.0,3,debug,1216,QuestPilot3,0,1,7,1,2020-11-02,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.99,3.99,weasel,40.016666666666666
177,chrome,windows,UNKNOWN,8,0,irlexp7_3,2020-11-02,2020-11-02,2020-11-02,0.0,3,debug,1217,QuestPilot3,0,1,7,1,2020-11-02,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.2,3.2,weasel,47.733333333333334
179,chrome,chromeos,UNKNOWN,9,0,irlexp7_3,2020-11-03,2020-11-03,2020-11-03,0.0,3,debug,1219,QuestPilot3,0,1,7,1,2020-11-02,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",3.17,4.17,rooster,43.38333333333333
181,chrome,windows,UNKNOWN,9,0,irlexp7_3,2020-11-03,2020-11-03,2020-11-03,0.0,3,debug,1221,QuestPilot3,0,1,7,1,2020-11-02,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.91,3.91,rooster,43.85
182,firefox,windows,UNKNOWN,9,0,irlexp7_3,2020-11-02,2020-11-02,2020-11-02,0.0,3,debug,1222,QuestPilot3,0,1,7,1,2020-11-02,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.58,3.58,rooster,48.21666666666667
