,pid,run,mouselab-quiz-post_Q0,mouselab-quiz-post_Q1,mouselab-quiz-post_Q2,mouselab-quiz-post_Q3,mouselab-quiz-post_Q4,mouselab-quiz-pre_Q0,mouselab-quiz-pre_Q1,mouselab-quiz-pre_Q2,mouselab-quiz-pre_Q3,passed_quizzes,age,colorblind,effort,gender,female,male,other,browser,platform,language,cond,counterbalance,codeversion,beginhit,beginexp,endhit,bonus,status,mode,final_bonus,displayed_bonus,CODE,DEPTH,COST,MIN_TIME,inspectCost,startTime,bonusRate,variance,branching,first_trial,colors,color_names,time_diff
0,273,2PartPilot1Part1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,29,0,0,male,0.0,1.0,0.0,chrome,macos,UNKNOWN,0,0,irlexp7_part1,2020-11-24,2020-11-24,2020-11-24,0.0,3,debug,2.9,4.4,hedgehog,0,1,7,1,2020-11-24,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",35.88333333333333
1,274,2PartPilot1Part1,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,30,0,0,male,0.0,1.0,0.0,chrome,windows,UNKNOWN,1,0,irlexp7_part1,2020-11-24,2020-11-24,2020-11-24,0.0,3,debug,3.31,4.81,bighorn,0,1,7,1,2020-11-24,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",31.016666666666666
2,275,2PartPilot1Part1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,29,0,0,male,0.0,1.0,0.0,chrome,windows,UNKNOWN,2,0,irlexp7_part1,2020-11-24,2020-11-24,2020-11-24,0.0,3,debug,2.96,4.46,chinchilla,0,1,7,1,2020-11-24,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",51.8
3,276,2PartPilot1Part1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,27,0,0,male,0.0,1.0,0.0,chrome,windows,UNKNOWN,4,0,irlexp7_part1,2020-11-24,2020-11-24,2020-11-24,0.0,3,debug,3.05,4.55,guanaco,0,1,7,1,2020-11-24,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",22.533333333333335
4,277,2PartPilot1Part1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,36,0,0,female,1.0,0.0,0.0,chrome,windows,UNKNOWN,5,0,irlexp7_part1,2020-11-25,2020-11-25,2020-11-25,0.0,3,debug,3.16,4.66,walrus,0,1,7,1,2020-11-25,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.0833333333333335
5,278,2PartPilot1Part1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,28,0,0,female,1.0,0.0,0.0,chrome,windows,UNKNOWN,6,0,irlexp7_part1,2020-11-25,2020-11-25,2020-11-25,0.0,3,debug,3.5,5.0,dromedary,0,1,7,1,2020-11-24,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",35.05
6,279,2PartPilot1Part1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,26,0,0,male,0.0,1.0,0.0,chrome,windows,UNKNOWN,7,0,irlexp7_part1,2020-11-24,2020-11-24,2020-11-24,0.0,3,debug,2.74,4.24,aoudad,0,1,7,1,2020-11-24,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",37.28333333333333
7,280,2PartPilot1Part1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,26,0,0,female,1.0,0.0,0.0,chrome,macos,UNKNOWN,9,0,irlexp7_part1,2020-11-25,2020-11-25,2020-11-25,0.0,3,debug,3.36,4.86,rooster,0,1,7,1,2020-11-25,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",30.55
10,593,2PartPilot3Part1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,54,0,0,male,0.0,1.0,0.0,chrome,chromeos,UNKNOWN,0,0,irlexp7_2_part1,2020-12-15,2020-12-15,2020-12-15,0.0,3,debug,2.36,3.36,hedgehog,0,1,7,1,2020-12-15,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",38.016666666666666
11,594,2PartPilot3Part1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,48,0,0,female,1.0,0.0,0.0,chrome,macos,UNKNOWN,0,0,irlexp7_2_part1,2020-12-14,2020-12-14,2020-12-14,0.0,3,debug,0.53,1.53,hedgehog,0,1,7,1,2020-12-14,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",26.333333333333332
12,595,2PartPilot3Part1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,67,0,0,male,0.0,1.0,0.0,firefox,windows,UNKNOWN,0,0,irlexp7_2_part1,2020-12-13,2020-12-13,2020-12-13,0.0,3,debug,2.33,3.33,hedgehog,0,1,7,1,2020-12-13,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",38.03333333333333
13,596,2PartPilot3Part1,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,26,0,0,female,1.0,0.0,0.0,chrome,windows,UNKNOWN,0,0,irlexp7_2_part1,2020-12-12,2020-12-12,2020-12-12,0.0,3,debug,2.46,3.46,hedgehog,0,1,7,1,2020-12-12,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",28.15
14,597,2PartPilot3Part1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,35,0,0,female,1.0,0.0,0.0,chrome,macos,UNKNOWN,0,0,irlexp7_2_part1,2020-12-12,2020-12-12,2020-12-12,0.0,3,debug,2.02,3.02,hedgehog,0,1,7,1,2020-12-12,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",32.35
15,598,2PartPilot3Part1,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,38,0,0,male,0.0,1.0,0.0,chrome,windows,UNKNOWN,0,0,irlexp7_2_part1,2020-12-11,2020-12-11,2020-12-11,0.0,3,debug,0.0,1.0,hedgehog,0,1,7,1,2020-12-11,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",42.13333333333333
16,599,2PartPilot3Part1,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1,24,0,0,male,0.0,1.0,0.0,chrome,macos,UNKNOWN,0,0,irlexp7_2_part1,2020-12-11,2020-12-11,2020-12-11,0.0,3,debug,2.27,3.27,hedgehog,0,1,7,1,2020-12-11,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",24.833333333333332
17,600,2PartPilot3Part1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,39,0,0,female,1.0,0.0,0.0,firefox,macos,UNKNOWN,0,0,irlexp7_2_part1,2020-12-10,2020-12-10,2020-12-10,0.0,3,debug,2.2,3.2,hedgehog,0,1,7,1,2020-12-10,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",24.483333333333334
18,601,2PartPilot3Part1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,30,0,0,male,0.0,1.0,0.0,chrome,windows,UNKNOWN,0,0,irlexp7_2_part1,2020-12-10,2020-12-10,2020-12-10,0.0,3,debug,2.32,3.32,hedgehog,0,1,7,1,2020-12-10,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",36.233333333333334
19,602,2PartPilot3Part1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,38,0,0,female,1.0,0.0,0.0,chrome,windows,UNKNOWN,0,0,irlexp7_2_part1,2020-12-10,2020-12-10,2020-12-10,0.0,3,debug,2.05,3.05,hedgehog,0,1,7,1,2020-12-10,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",25.55
20,603,2PartPilot3Part1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,27,0,0,female,1.0,0.0,0.0,chrome,windows,UNKNOWN,0,0,irlexp7_2_part1,2020-12-09,2020-12-09,2020-12-09,0.0,3,debug,2.15,3.15,hedgehog,0,1,7,1,2020-12-09,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",24.516666666666666
21,604,2PartPilot3Part1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,29,0,0,female,1.0,0.0,0.0,chrome,windows,UNKNOWN,0,0,irlexp7_2_part1,2020-12-09,2020-12-09,2020-12-09,0.0,3,debug,,,hedgehog,0,1,7,1,2020-12-09,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",37.916666666666664
22,605,2PartPilot3Part1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,21,0,0,male,0.0,1.0,0.0,chrome,windows,UNKNOWN,0,0,irlexp7_2_part1,2020-12-09,2020-12-09,2020-12-09,0.0,3,debug,2.31,3.31,hedgehog,0,1,7,1,2020-12-08,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",27.2
23,606,2PartPilot3Part1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,58,0,0,female,1.0,0.0,0.0,chrome,windows,UNKNOWN,0,0,irlexp7_2_part1,2020-12-08,2020-12-08,2020-12-08,0.0,3,debug,0.43,1.43,hedgehog,0,1,7,1,2020-12-08,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",34.266666666666666
24,607,2PartPilot3Part1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,24,0,0,female,1.0,0.0,0.0,chrome,macos,UNKNOWN,0,0,irlexp7_2_part1,2020-12-08,2020-12-08,2020-12-08,0.0,3,debug,1.86,2.86,hedgehog,0,1,7,1,2020-12-08,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",21.216666666666665
25,608,2PartPilot3Part1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,21,0,0,female,1.0,0.0,0.0,chrome,windows,UNKNOWN,0,0,irlexp7_2_part1,2020-12-08,2020-12-08,2020-12-08,0.0,3,debug,1.93,2.93,hedgehog,0,1,7,1,2020-12-07,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",21.1
26,609,2PartPilot3Part1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,32,0,0,female,1.0,0.0,0.0,chrome,windows,UNKNOWN,0,0,irlexp7_2_part1,2020-12-07,2020-12-07,2020-12-07,0.0,3,debug,,,hedgehog,0,1,7,1,2020-12-07,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",39.266666666666666
27,610,2PartPilot3Part1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,40,0,0,female,1.0,0.0,0.0,chrome,windows,UNKNOWN,0,0,irlexp7_2_part1,2020-12-07,2020-12-07,2020-12-07,0.0,3,debug,2.65,3.65,hedgehog,0,1,7,1,2020-12-07,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",54.6
28,611,2PartPilot3Part1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,30,0,0,male,0.0,1.0,0.0,chrome,linux,UNKNOWN,0,0,irlexp7_2_part1,2020-12-07,2020-12-07,2020-12-07,0.0,3,debug,2.42,3.42,hedgehog,0,1,7,1,2020-12-07,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",31.283333333333335
29,612,2PartPilot3Part1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,20,0,0,male,0.0,1.0,0.0,chrome,windows,UNKNOWN,0,0,irlexp7_2_part1,2020-12-07,2020-12-07,2020-12-07,0.0,3,debug,2.6,3.6,hedgehog,0,1,7,1,2020-12-07,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",29.683333333333334
30,613,2PartPilot3Part1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,35,0,0,male,0.0,1.0,0.0,chrome,windows,UNKNOWN,0,0,irlexp7_2_part1,2020-12-07,2020-12-07,2020-12-07,0.0,3,debug,2.07,3.07,hedgehog,0,1,7,1,2020-12-07,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",23.433333333333334
32,615,2PartPilot3Part1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,28,0,1,female,1.0,0.0,0.0,chrome,chromeos,UNKNOWN,1,0,irlexp7_2_part1,2020-12-15,2020-12-15,2020-12-15,0.0,3,debug,2.33,3.33,bighorn,0,1,7,1,2020-12-15,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",24.066666666666666
33,616,2PartPilot3Part1,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1,24,0,0,female,1.0,0.0,0.0,safari,macos,UNKNOWN,1,0,irlexp7_2_part1,2020-12-14,2020-12-14,2020-12-14,0.0,3,debug,2.02,3.02,bighorn,0,1,7,1,2020-12-13,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",23.916666666666668
34,617,2PartPilot3Part1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,40,0,0,male,0.0,1.0,0.0,chrome,windows,UNKNOWN,1,0,irlexp7_2_part1,2020-12-12,2020-12-12,2020-12-12,0.0,3,debug,2.24,3.24,bighorn,0,1,7,1,2020-12-12,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",27.9
35,618,2PartPilot3Part1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,54,0,0,female,1.0,0.0,0.0,chrome,windows,UNKNOWN,1,0,irlexp7_2_part1,2020-12-12,2020-12-12,2020-12-12,0.0,3,debug,2.32,3.32,bighorn,0,1,7,1,2020-12-12,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",47.95
36,619,2PartPilot3Part1,1.0,1.0,1.0,1.0,-2.0,1.0,1.0,1.0,1.0,1,40,0,1,female,1.0,0.0,0.0,chrome,windows,UNKNOWN,1,0,irlexp7_2_part1,2020-12-11,2020-12-11,2020-12-11,0.0,3,debug,2.58,3.58,bighorn,0,1,7,1,2020-12-11,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",29.45
37,620,2PartPilot3Part1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,23,0,0,male,0.0,1.0,0.0,chrome,windows,UNKNOWN,1,0,irlexp7_2_part1,2020-12-11,2020-12-11,2020-12-11,0.0,3,debug,2.34,3.34,bighorn,0,1,7,1,2020-12-10,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",24.6
38,621,2PartPilot3Part1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,34,0,0,male,0.0,1.0,0.0,firefox,windows,UNKNOWN,1,0,irlexp7_2_part1,2020-12-10,2020-12-10,2020-12-10,0.0,3,debug,2.39,3.39,bighorn,0,1,7,1,2020-12-10,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",32.9
40,623,2PartPilot3Part1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,36,0,0,female,1.0,0.0,0.0,chrome,windows,UNKNOWN,1,0,irlexp7_2_part1,2020-12-10,2020-12-10,2020-12-10,0.0,3,debug,0.93,1.93,bighorn,0,1,7,1,2020-12-10,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",28.85
41,624,2PartPilot3Part1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,30,0,0,male,0.0,1.0,0.0,firefox,windows,UNKNOWN,1,0,irlexp7_2_part1,2020-12-09,2020-12-09,2020-12-09,0.0,3,debug,1.26,2.26,bighorn,0,1,7,1,2020-12-09,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",24.683333333333334
42,625,2PartPilot3Part1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,37,0,0,male,0.0,1.0,0.0,chrome,windows,UNKNOWN,1,0,irlexp7_2_part1,2020-12-09,2020-12-09,2020-12-09,0.0,3,debug,0.38,1.38,bighorn,0,1,7,1,2020-12-08,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",35.85
43,626,2PartPilot3Part1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,36,0,0,female,1.0,0.0,0.0,chrome,windows,UNKNOWN,1,0,irlexp7_2_part1,2020-12-09,2020-12-09,2020-12-09,0.0,3,debug,0.67,1.67,bighorn,0,1,7,1,2020-12-08,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",36.38333333333333
44,627,2PartPilot3Part1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,34,0,0,female,1.0,0.0,0.0,firefox,macos,UNKNOWN,1,0,irlexp7_2_part1,2020-12-08,2020-12-08,2020-12-08,0.0,3,debug,2.35,3.35,bighorn,0,1,7,1,2020-12-08,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",34.016666666666666
46,629,2PartPilot3Part1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,33,0,1,male,0.0,1.0,0.0,chrome,windows,UNKNOWN,1,0,irlexp7_2_part1,2020-12-08,2020-12-08,2020-12-08,0.0,3,debug,2.15,3.15,bighorn,0,1,7,1,2020-12-07,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",17.216666666666665
47,630,2PartPilot3Part1,1.0,1.0,1.0,1.0,-2.0,1.0,1.0,1.0,1.0,1,20,0,0,male,0.0,1.0,0.0,chrome,windows,UNKNOWN,1,0,irlexp7_2_part1,2020-12-07,2020-12-07,2020-12-07,0.0,3,debug,0.12,1.12,bighorn,0,1,7,1,2020-12-07,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",19.2
48,631,2PartPilot3Part1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,60,0,0,female,1.0,0.0,0.0,chrome,windows,UNKNOWN,1,0,irlexp7_2_part1,2020-12-07,2020-12-07,2020-12-07,0.0,3,debug,0.15,1.15,bighorn,0,1,7,1,2020-12-07,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",30.433333333333334
49,632,2PartPilot3Part1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,58,0,0,female,1.0,0.0,0.0,chrome,windows,UNKNOWN,1,0,irlexp7_2_part1,2020-12-07,2020-12-07,2020-12-07,0.0,3,debug,0.67,1.67,bighorn,0,1,7,1,2020-12-07,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",26.316666666666666
50,633,2PartPilot3Part1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,38,0,0,other,0.0,0.0,1.0,chrome,windows,UNKNOWN,1,0,irlexp7_2_part1,2020-12-07,2020-12-07,2020-12-07,0.0,3,debug,2.51,3.51,bighorn,0,1,7,1,2020-12-07,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",20.066666666666666
51,634,2PartPilot3Part1,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,45,0,0,male,0.0,1.0,0.0,chrome,windows,UNKNOWN,2,0,irlexp7_2_part1,2020-12-15,2020-12-15,2020-12-15,0.0,3,debug,2.4,3.4,chinchilla,0,1,7,1,2020-12-15,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",36.25
52,635,2PartPilot3Part1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,51,0,0,male,0.0,1.0,0.0,chrome,windows,UNKNOWN,2,0,irlexp7_2_part1,2020-12-14,2020-12-14,2020-12-14,0.0,3,debug,,,chinchilla,0,1,7,1,2020-12-14,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",41.96666666666667
