,pid,run,mouselab-quiz-post_Q0,mouselab-quiz-post_Q1,mouselab-quiz-post_Q2,mouselab-quiz-post_Q3,mouselab-quiz-post_Q4,mouselab-quiz-pre_Q0,mouselab-quiz-pre_Q1,mouselab-quiz-pre_Q2,mouselab-quiz-pre_Q3,passed_quizzes,age,colorblind,effort,gender,female,male,other,browser,platform,language,cond,counterbalance,codeversion,beginhit,beginexp,endhit,bonus,status,mode,final_bonus,displayed_bonus,CODE,DEPTH,COST,MIN_TIME,inspectCost,startTime,bonusRate,variance,branching,first_trial,colors,color_names,time_diff
53,636,2PartPilot3Part1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,27,0,0,female,1.0,0.0,0.0,chrome,macos,UNKNOWN,2,0,irlexp7_2_part1,2020-12-14,2020-12-14,2020-12-14,0.0,3,debug,2.39,3.39,chinchilla,0,1,7,1,2020-12-13,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",32.18333333333333
54,637,2PartPilot3Part1,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,37,0,0,male,0.0,1.0,0.0,chrome,windows,UNKNOWN,2,0,irlexp7_2_part1,2020-12-13,2020-12-13,2020-12-13,0.0,3,debug,2.25,3.25,chinchilla,0,1,7,1,2020-12-12,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",20.766666666666666
55,638,2PartPilot3Part1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,47,0,0,female,1.0,0.0,0.0,chrome,windows,UNKNOWN,2,0,irlexp7_2_part1,2020-12-12,2020-12-12,2020-12-12,0.0,3,debug,0.43,1.43,chinchilla,0,1,7,1,2020-12-11,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",35.766666666666666
56,639,2PartPilot3Part1,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,34,0,0,male,0.0,1.0,0.0,chrome,windows,UNKNOWN,2,0,irlexp7_2_part1,2020-12-11,2020-12-11,2020-12-11,0.0,3,debug,2.32,3.32,chinchilla,0,1,7,1,2020-12-11,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",35.7
57,640,2PartPilot3Part1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,36,0,0,male,0.0,1.0,0.0,chrome,windows,UNKNOWN,2,0,irlexp7_2_part1,2020-12-11,2020-12-11,2020-12-11,0.0,3,debug,0.77,1.77,chinchilla,0,1,7,1,2020-12-10,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",17.683333333333334
58,641,2PartPilot3Part1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,27,0,0,female,1.0,0.0,0.0,chrome,windows,UNKNOWN,2,0,irlexp7_2_part1,2020-12-10,2020-12-10,2020-12-10,0.0,3,debug,2.5,3.5,chinchilla,0,1,7,1,2020-12-10,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",23.916666666666668
59,642,2PartPilot3Part1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,50,0,0,female,1.0,0.0,0.0,chrome,windows,UNKNOWN,2,0,irlexp7_2_part1,2020-12-10,2020-12-10,2020-12-10,0.0,3,debug,2.32,3.32,chinchilla,0,1,7,1,2020-12-10,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",21.783333333333335
60,643,2PartPilot3Part1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,32,0,0,female,1.0,0.0,0.0,firefox,windows,UNKNOWN,2,0,irlexp7_2_part1,2020-12-10,2020-12-10,2020-12-10,0.0,3,debug,2.24,3.24,chinchilla,0,1,7,1,2020-12-10,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",34.35
61,644,2PartPilot3Part1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,20,0,0,female,1.0,0.0,0.0,chrome,windows,UNKNOWN,2,0,irlexp7_2_part1,2020-12-09,2020-12-09,2020-12-09,0.0,3,debug,2.17,3.17,chinchilla,0,1,7,1,2020-12-09,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",40.4
62,645,2PartPilot3Part1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,23,0,0,female,1.0,0.0,0.0,chrome,windows,UNKNOWN,2,0,irlexp7_2_part1,2020-12-08,2020-12-08,2020-12-08,0.0,3,debug,2.17,3.17,chinchilla,0,1,7,1,2020-12-08,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",30.316666666666666
63,646,2PartPilot3Part1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,35,0,0,female,1.0,0.0,0.0,firefox,windows,UNKNOWN,2,0,irlexp7_2_part1,2020-12-08,2020-12-08,2020-12-08,0.0,3,debug,0.74,1.74,chinchilla,0,1,7,1,2020-12-08,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",17.283333333333335
64,647,2PartPilot3Part1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,35,0,0,male,0.0,1.0,0.0,chrome,macos,UNKNOWN,2,0,irlexp7_2_part1,2020-12-08,2020-12-08,2020-12-08,0.0,3,debug,2.15,3.15,chinchilla,0,1,7,1,2020-12-08,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",23.25
65,648,2PartPilot3Part1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,38,0,0,female,1.0,0.0,0.0,chrome,windows,UNKNOWN,2,0,irlexp7_2_part1,2020-12-08,2020-12-08,2020-12-08,0.0,3,debug,2.39,3.39,chinchilla,0,1,7,1,2020-12-08,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",42.38333333333333
66,649,2PartPilot3Part1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,27,0,0,female,1.0,0.0,0.0,chrome,windows,UNKNOWN,2,0,irlexp7_2_part1,2020-12-08,2020-12-08,2020-12-08,0.0,3,debug,2.01,3.01,chinchilla,0,1,7,1,2020-12-07,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",23.716666666666665
67,650,2PartPilot3Part1,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,41,0,0,female,1.0,0.0,0.0,chrome,windows,UNKNOWN,2,0,irlexp7_2_part1,2020-12-07,2020-12-07,2020-12-08,0.0,3,debug,1.48,2.48,chinchilla,0,1,7,1,2020-12-07,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",21.016666666666666
68,651,2PartPilot3Part1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,30,0,0,male,0.0,1.0,0.0,chrome,windows,UNKNOWN,2,0,irlexp7_2_part1,2020-12-07,2020-12-07,2020-12-07,0.0,3,debug,2.46,3.46,chinchilla,0,1,7,1,2020-12-07,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",34.083333333333336
69,652,2PartPilot3Part1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,36,0,0,female,1.0,0.0,0.0,chrome,windows,UNKNOWN,2,0,irlexp7_2_part1,2020-12-07,2020-12-07,2020-12-07,0.0,3,debug,1.47,2.47,chinchilla,0,1,7,1,2020-12-07,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",15.716666666666667
70,653,2PartPilot3Part1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,49,0,0,female,1.0,0.0,0.0,chrome,windows,UNKNOWN,2,0,irlexp7_2_part1,2020-12-07,2020-12-07,2020-12-07,0.0,3,debug,0.09,1.09,chinchilla,0,1,7,1,2020-12-07,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",24.95
71,654,2PartPilot3Part1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,29,0,0,female,1.0,0.0,0.0,safari,macos,UNKNOWN,3,0,irlexp7_2_part1,2020-12-14,2020-12-14,2020-12-15,0.0,3,debug,2.14,3.14,porcupine,0,1,7,1,2020-12-14,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",47.03333333333333
72,655,2PartPilot3Part1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,21,0,0,female,1.0,0.0,0.0,chrome,windows,UNKNOWN,3,0,irlexp7_2_part1,2020-12-13,2020-12-13,2020-12-13,0.0,3,debug,2.42,3.42,porcupine,0,1,7,1,2020-12-13,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",23.8
73,656,2PartPilot3Part1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,35,0,0,female,1.0,0.0,0.0,chrome,windows,UNKNOWN,3,0,irlexp7_2_part1,2020-12-12,2020-12-12,2020-12-12,0.0,3,debug,2.4,3.4,porcupine,0,1,7,1,2020-12-12,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",19.483333333333334
74,657,2PartPilot3Part1,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,32,0,0,female,1.0,0.0,0.0,chrome,windows,UNKNOWN,3,0,irlexp7_2_part1,2020-12-12,2020-12-12,2020-12-12,0.0,3,debug,0.0,1.0,porcupine,0,1,7,1,2020-12-11,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",35.983333333333334
75,658,2PartPilot3Part1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,37,0,0,male,0.0,1.0,0.0,chrome,windows,UNKNOWN,3,0,irlexp7_2_part1,2020-12-11,2020-12-11,2020-12-11,0.0,3,debug,2.4,3.4,porcupine,0,1,7,1,2020-12-11,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",39.25
76,659,2PartPilot3Part1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,22,0,0,male,0.0,1.0,0.0,chrome,windows,UNKNOWN,3,0,irlexp7_2_part1,2020-12-11,2020-12-11,2020-12-11,0.0,3,debug,2.39,3.39,porcupine,0,1,7,1,2020-12-10,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",17.316666666666666
77,660,2PartPilot3Part1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,36,0,0,female,1.0,0.0,0.0,chrome,macos,UNKNOWN,3,0,irlexp7_2_part1,2020-12-10,2020-12-10,2020-12-10,0.0,3,debug,0.0,1.0,porcupine,0,1,7,1,2020-12-10,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",20.066666666666666
78,661,2PartPilot3Part1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,21,0,0,female,1.0,0.0,0.0,chrome,macos,UNKNOWN,3,0,irlexp7_2_part1,2020-12-10,2020-12-10,2020-12-10,0.0,3,debug,2.45,3.45,porcupine,0,1,7,1,2020-12-10,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",16.0
79,662,2PartPilot3Part1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,73,0,0,female,1.0,0.0,0.0,chrome,windows,UNKNOWN,3,0,irlexp7_2_part1,2020-12-10,2020-12-10,2020-12-10,0.0,3,debug,0.15,1.15,porcupine,0,1,7,1,2020-12-09,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",41.63333333333333
80,663,2PartPilot3Part1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,38,0,0,male,0.0,1.0,0.0,chrome,windows,UNKNOWN,3,0,irlexp7_2_part1,2020-12-09,2020-12-10,2020-12-10,0.0,3,debug,2.41,3.41,porcupine,0,1,7,1,2020-12-09,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",21.3
81,664,2PartPilot3Part1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,22,0,0,female,1.0,0.0,0.0,chrome,macos,UNKNOWN,3,0,irlexp7_2_part1,2020-12-08,2020-12-08,2020-12-08,0.0,3,debug,0.0,1.0,porcupine,0,1,7,1,2020-12-08,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",27.45
82,665,2PartPilot3Part1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,31,0,0,male,0.0,1.0,0.0,chrome,windows,UNKNOWN,3,0,irlexp7_2_part1,2020-12-08,2020-12-08,2020-12-08,0.0,3,debug,2.15,3.15,porcupine,0,1,7,1,2020-12-08,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",22.166666666666668
83,666,2PartPilot3Part1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,55,0,0,female,1.0,0.0,0.0,chrome,windows,UNKNOWN,3,0,irlexp7_2_part1,2020-12-08,2020-12-08,2020-12-08,0.0,3,debug,2.32,3.32,porcupine,0,1,7,1,2020-12-08,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",37.75
84,667,2PartPilot3Part1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,23,0,0,male,0.0,1.0,0.0,chrome,chromeos,UNKNOWN,3,0,irlexp7_2_part1,2020-12-08,2020-12-08,2020-12-08,0.0,3,debug,2.4,3.4,porcupine,0,1,7,1,2020-12-07,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",26.95
85,668,2PartPilot3Part1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,19,0,0,male,0.0,1.0,0.0,chrome,windows,UNKNOWN,3,0,irlexp7_2_part1,2020-12-08,2020-12-08,2020-12-08,0.0,3,debug,2.22,3.22,porcupine,0,1,7,1,2020-12-07,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",34.93333333333333
86,669,2PartPilot3Part1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,36,0,0,female,1.0,0.0,0.0,firefox,windows,UNKNOWN,3,0,irlexp7_2_part1,2020-12-08,2020-12-08,2020-12-08,0.0,3,debug,2.39,3.39,porcupine,0,1,7,1,2020-12-07,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",25.383333333333333
87,670,2PartPilot3Part1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,40,0,0,male,0.0,1.0,0.0,chrome,windows,UNKNOWN,3,0,irlexp7_2_part1,2020-12-07,2020-12-07,2020-12-07,0.0,3,debug,1.83,2.83,porcupine,0,1,7,1,2020-12-07,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",21.35
88,671,2PartPilot3Part1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,21,0,0,female,1.0,0.0,0.0,chrome,windows,UNKNOWN,3,0,irlexp7_2_part1,2020-12-07,2020-12-07,2020-12-07,0.0,3,debug,2.19,3.19,porcupine,0,1,7,1,2020-12-07,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",17.983333333333334
90,673,2PartPilot3Part1,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,59,0,0,female,1.0,0.0,0.0,chrome,windows,UNKNOWN,4,0,irlexp7_2_part1,2020-12-15,2020-12-15,2020-12-15,0.0,3,debug,2.14,3.14,guanaco,0,1,7,1,2020-12-14,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",39.2
91,674,2PartPilot3Part1,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,25,0,0,female,1.0,0.0,0.0,chrome,windows,UNKNOWN,4,0,irlexp7_2_part1,2020-12-13,2020-12-13,2020-12-13,0.0,3,debug,0.01,1.01,guanaco,0,1,7,1,2020-12-13,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",24.983333333333334
92,675,2PartPilot3Part1,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1,34,0,1,female,1.0,0.0,0.0,chrome,chromeos,UNKNOWN,4,0,irlexp7_2_part1,2020-12-13,2020-12-13,2020-12-13,0.0,3,debug,0.1,1.1,guanaco,0,1,7,1,2020-12-12,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",35.71666666666667
93,676,2PartPilot3Part1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,20,0,0,female,1.0,0.0,0.0,chrome,windows,UNKNOWN,4,0,irlexp7_2_part1,2020-12-12,2020-12-12,2020-12-12,0.0,3,debug,2.1,3.1,guanaco,0,1,7,1,2020-12-12,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",20.183333333333334
94,677,2PartPilot3Part1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,38,0,0,male,0.0,1.0,0.0,chrome,windows,UNKNOWN,4,0,irlexp7_2_part1,2020-12-11,2020-12-11,2020-12-11,0.0,3,debug,1.09,2.09,guanaco,0,1,7,1,2020-12-11,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",21.166666666666668
95,678,2PartPilot3Part1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,25,0,0,male,0.0,1.0,0.0,chrome,windows,UNKNOWN,4,0,irlexp7_2_part1,2020-12-11,2020-12-11,2020-12-11,0.0,3,debug,2.6,3.6,guanaco,0,1,7,1,2020-12-10,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",28.7
96,680,2PartPilot3Part1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,51,0,1,female,1.0,0.0,0.0,chrome,windows,UNKNOWN,4,0,irlexp7_2_part1,2020-12-10,2020-12-10,2020-12-10,0.0,3,debug,0.4,1.4,guanaco,0,1,7,1,2020-12-10,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",42.68333333333333
97,681,2PartPilot3Part1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,30,0,0,male,0.0,1.0,0.0,chrome,windows,UNKNOWN,4,0,irlexp7_2_part1,2020-12-10,2020-12-10,2020-12-10,0.0,3,debug,2.28,3.28,guanaco,0,1,7,1,2020-12-10,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",19.516666666666666
98,682,2PartPilot3Part1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,21,0,0,male,0.0,1.0,0.0,chrome,windows,UNKNOWN,4,0,irlexp7_2_part1,2020-12-09,2020-12-09,2020-12-09,0.0,3,debug,0.92,1.92,guanaco,0,1,7,1,2020-12-09,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",36.3
99,683,2PartPilot3Part1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,28,0,0,male,0.0,1.0,0.0,chrome,windows,UNKNOWN,4,0,irlexp7_2_part1,2020-12-09,2020-12-09,2020-12-09,0.0,3,debug,2.81,3.81,guanaco,0,1,7,1,2020-12-08,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",25.9
100,684,2PartPilot3Part1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,34,0,0,female,1.0,0.0,0.0,chrome,windows,UNKNOWN,4,0,irlexp7_2_part1,2020-12-08,2020-12-08,2020-12-08,0.0,3,debug,2.55,3.55,guanaco,0,1,7,1,2020-12-08,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",33.666666666666664
101,685,2PartPilot3Part1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,50,0,0,male,0.0,1.0,0.0,chrome,windows,UNKNOWN,4,0,irlexp7_2_part1,2020-12-08,2020-12-08,2020-12-08,0.0,3,debug,0.44,1.44,guanaco,0,1,7,1,2020-12-08,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",30.866666666666667
102,686,2PartPilot3Part1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,32,0,0,female,1.0,0.0,0.0,chrome,windows,UNKNOWN,4,0,irlexp7_2_part1,2020-12-08,2020-12-08,2020-12-08,0.0,3,debug,2.27,3.27,guanaco,0,1,7,1,2020-12-07,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",46.03333333333333
